Rank,Song,Artist,Trend,Last Week,Peak,Weeks,Link
53,Guardians,August Burns Red,New,-,53,1,https://www.billboard.com/charts/billboard-200?rank=53
54,Never Will,Ashley McBryde,New,-,54,1,https://www.billboard.com/charts/billboard-200?rank=54
55,John Prine,John Prine,Re-Enter,-,55,4,https://www.billboard.com/charts/billboard-200?rank=55
56,Fully Loaded: God's Country,Blake Shelton,Steady,56,2,17,https://www.billboard.com/charts/billboard-200?rank=56
57,Romance,Camila Cabello,Failing,53,3,18,https://www.billboard.com/charts/billboard-200?rank=57
58,?,XXXTENTACION,Failing,57,1,108,https://www.billboard.com/charts/billboard-200?rank=58
59,Melly vs. Melvin,YNW Melly,Failing,55,8,20,https://www.billboard.com/charts/billboard-200?rank=59
60,Heaven Or Hell,Don Toliver,Failing,48,7,4,https://www.billboard.com/charts/billboard-200?rank=60
61,Declaration,Red,New,-,61,1,https://www.billboard.com/charts/billboard-200?rank=61
62,Legend: The Best Of...,Bob Marley And The Wailers,Rising,64,5,621,https://www.billboard.com/charts/billboard-200?rank=62
63,Rare,Selena Gomez,Rising,94,1,13,https://www.billboard.com/charts/billboard-200?rank=63
64,Free Spirit,Khalid,Failing,60,1,53,https://www.billboard.com/charts/billboard-200?rank=64
65,Indigo,Chris Brown,Failing,61,1,41,https://www.billboard.com/charts/billboard-200?rank=65
66,Gigaton,Pearl Jam,Failing,5,5,2,https://www.billboard.com/charts/billboard-200?rank=66
67,PTSD,G Herbo,Failing,58,7,6,https://www.billboard.com/charts/billboard-200?rank=67
68,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,Steady,68,22,466,https://www.billboard.com/charts/billboard-200?rank=68
69,1,The Beatles,Failing,66,1,415,https://www.billboard.com/charts/billboard-200?rank=69
70,Sweet Action,Jack Harlow,Rising,71,36,4,https://www.billboard.com/charts/billboard-200?rank=70
